Table Name,Table Description,Column Name,Column Description,Data Element,Checktable,Datatype,Length,Decimals,Table Description Short,Column Description Short
EBAN,Purchase Requisition,RSNUM,Number of Reservation/Dependent Requirement,RSNUM,,NUMC,10,0,Purchase Requisition,number_of_reservation_dep
EBAN,Purchase Requisition,SOBKZ,Special Stock Indicator,SOBKZ,T148,CHAR,1,0,Purchase Requisition,special_stock_indicator
EBAN,Purchase Requisition,ARSNR,Settlement reservation number,ARSNR,,NUMC,10,0,Purchase Requisition,settlement_reservation_nu
EBAN,Purchase Requisition,ARSPS,Item number of the settlement reservation,ARSPS,,NUMC,4,0,Purchase Requisition,item_number_of_the_settle
EBAN,Purchase Requisition,FIXKZ,Purchase Requisition is Fixed,BAFIX,,CHAR,1,0,Purchase Requisition,purchase_requisition_is_f
EBAN,Purchase Requisition,BMEIN,Purchase Order Unit of Measure,BSTME,T006,UNIT,3,0,Purchase Requisition,purchase_order_unit_of_me
EBAN,Purchase Requisition,REVLV,Revision Level,REVLV,,CHAR,2,0,Purchase Requisition,revision_level
EBAN,Purchase Requisition,VORAB,Advance procurement: project stock,VORAB,,CHAR,1,0,Purchase Requisition,advance_procurement_proje
EBAN,Purchase Requisition,PACKNO,Package number,PACKNO,ESLH,NUMC,10,0,Purchase Requisition,package_number
EBAN,Purchase Requisition,KANBA,Kanban Indicator,KBNKZ,,CHAR,1,0,Purchase Requisition,kanban_indicator
EBAN,Purchase Requisition,BPUEB,Adopt Requisition Price in Purchase Order,BPUEB,,CHAR,1,0,Purchase Requisition,adopt_requisition_price_i
EBAN,Purchase Requisition,CUOBJ,Configuration (internal object number),CUOBJ,,NUMC,18,0,Purchase Requisition,configuration__internal_o
EBAN,Purchase Requisition,FRGGR,Release group,FRGGR,T16FG,CHAR,2,0,Purchase Requisition,release_group
EBAN,Purchase Requisition,FRGRL,Release Not Yet Completely Effected,FRGRL,,CHAR,1,0,Purchase Requisition,release_not_yet_completel
EBAN,Purchase Requisition,AKTNR,Promotion,WAKTION,WAKH,CHAR,10,0,Purchase Requisition,promotion
EBAN,Purchase Requisition,CHARG,Batch Number,CHARG_D,,CHAR,10,0,Purchase Requisition,batch_number
EBAN,Purchase Requisition,UMSOK,Special Stock Indicator for Physical Stock Transfer,UMSOK,,CHAR,1,0,Purchase Requisition,special_stock_indicator_f
EBAN,Purchase Requisition,VERID,Production Version,VERID,,CHAR,4,0,Purchase Requisition,production_version
EBAN,Purchase Requisition,FIPOS,Commitment Item,FIPOS,,CHAR,14,0,Purchase Requisition,commitment_item
EBAN,Purchase Requisition,FISTL,Funds Center,FISTL,,CHAR,16,0,Purchase Requisition,funds_center
EBAN,Purchase Requisition,GEBER,Fund,BP_GEBER,,CHAR,10,0,Purchase Requisition,fund
EBAN,Purchase Requisition,KZKFG,Origin of Configuration,KZCUH,,CHAR,1,0,Purchase Requisition,origin_of_configuration
EBAN,Purchase Requisition,SATNR,Cross-Plant Configurable Material,SATNR,,CHAR,18,0,Purchase Requisition,cross_plant_configurable_
EBAN,Purchase Requisition,MNG02,Committed Quantity,MNG06,,QUAN,13,3,Purchase Requisition,committed_quantity
EBAN,Purchase Requisition,DAT01,Committed Date,DAT05,,DATS,8,0,Purchase Requisition,committed_date
EBAN,Purchase Requisition,ATTYP,Material Category,ATTYP,,CHAR,2,0,Purchase Requisition,material_category
EBAN,Purchase Requisition,ADRNR,Manual address number in purchasing document item,ADRNR_MM,ADRC,CHAR,10,0,Purchase Requisition,manual_address_number_in_
EBAN,Purchase Requisition,ADRN2,Number of delivery address,ADRN2,ADRC,CHAR,10,0,Purchase Requisition,number_of_delivery_addres
EBAN,Purchase Requisition,KUNNR,Customer,EKUNNR,KNA1,CHAR,10,0,Purchase Requisition,customer
EBAN,Purchase Requisition,EMLIF,Vendor to be supplied/who is to receive delivery,EMLIF,LFA1,CHAR,10,0,Purchase Requisition,vendor_to_be_supplied_who
EBAN,Purchase Requisition,LBLKZ,Subcontracting vendor,LBLKZ,,CHAR,1,0,Purchase Requisition,subcontracting_vendor
EBAN,Purchase Requisition,KZBWS,Valuation of Special Stock,KZBWS,,CHAR,1,0,Purchase Requisition,valuation_of_special_stoc
EBAN,Purchase Requisition,WAERS,Currency Key,WAERS,TCURC,CUKY,5,0,Purchase Requisition,currency_key
EBAN,Purchase Requisition,IDNLF,Material Number Used by Vendor,IDNLF,,CHAR,35,0,Purchase Requisition,material_number_used_by_v
EBAN,Purchase Requisition,GSFRG,Overall release of purchase requisitions,GSFRG,,CHAR,1,0,Purchase Requisition,overall_release_of_purcha
EBAN,Purchase Requisition,MPROF,Manufacturer Part Profile,MPROF,,CHAR,4,0,Purchase Requisition,manufacturer_part_profile
EBAN,Purchase Requisition,KZFME,Units of measure usage,KZWSO,,CHAR,1,0,Purchase Requisition,units_of_measure_usage
EBAN,Purchase Requisition,SPRAS,Language Key,SPRAS,T002,LANG,1,0,Purchase Requisition,language_key
EBAN,Purchase Requisition,TECHS,Parameter Variant/Standard Variant,TECHS,,CHAR,12,0,Purchase Requisition,parameter_variant_standar
EBAN,Purchase Requisition,MFRPN,Manufacturer Part Number,MFRPN,,CHAR,40,0,Purchase Requisition,manufacturer_part_number
EBAN,Purchase Requisition,MFRNR,Number of a Manufacturer,MFRNR,LFA1,CHAR,10,0,Purchase Requisition,number_of_a_manufacturer
EBAN,Purchase Requisition,EMNFR,External manufacturer code name or number,EMNFR,,CHAR,10,0,Purchase Requisition,external_manufacturer_cod
EBAN,Purchase Requisition,FORDN,Framework Order,SFORDN,,CHAR,10,0,Purchase Requisition,framework_order
EBAN,Purchase Requisition,FORDP,Item of framework order,FORDP,,NUMC,5,0,Purchase Requisition,item_of_framework_order
EBAN,Purchase Requisition,PLIFZ,Planned Delivery Time in Days,PLIFZ,,DEC,3,0,Purchase Requisition,planned_delivery_time_in_
EBAN,Purchase Requisition,BERID,MRP Area,BERID,,CHAR,10,0,Purchase Requisition,mrp_area
EBAN,Purchase Requisition,UZEIT,Delivery Date Time-Spot,LZEIT,,TIMS,6,0,Purchase Requisition,delivery_date_time_spot
EBAN,Purchase Requisition,FKBER,Functional Area,FKBER,,CHAR,16,0,Purchase Requisition,functional_area
EBAN,Purchase Requisition,GRANT_NBR,Grant,GM_GRANT_NBR,,CHAR,20,0,Purchase Requisition,grant
EBAN,Purchase Requisition,MEMORY,Purchase Requisition not yet Complete,MEMBF,,CHAR,1,0,Purchase Requisition,purchase_requisition_not_
EBAN,Purchase Requisition,BANPR,Requisition Processing State,BANPR,,CHAR,2,0,Purchase Requisition,requisition_processing_st
EBAN,Purchase Requisition,RLWRT,Total value at time of release,RLWRT,,CURR,15,2,Purchase Requisition,total_value_at_time_of_re
EBAN,Purchase Requisition,BLCKD,Purchase Requisition Blocked,BLCKD,,CHAR,1,0,Purchase Requisition,purchase_requisition_bloc
EBAN,Purchase Requisition,REVNO,Version number in Purchasing,REVNO,,CHAR,8,0,Purchase Requisition,version_number_in_purchas
EBAN,Purchase Requisition,BLCKT,Reason for Item Block,BLCKT,,CHAR,60,0,Purchase Requisition,reason_for_item_block
EBAN,Purchase Requisition,BESWK,Procuring Plant,BESWK,T001W,CHAR,4,0,Purchase Requisition,procuring_plant
EBAN,Purchase Requisition,EPROFILE,External Procurement Profile,MEPROFILE,,CHAR,2,0,Purchase Requisition,external_procurement_prof
EBAN,Purchase Requisition,EPREFDOC,External Procurement Reference Document,EPREFDOC,,CHAR,10,0,Purchase Requisition,external_procurement_refe
EBAN,Purchase Requisition,EPREFITM,External Procurement Reference Item,EPREFITM,,NUMC,5,0,Purchase Requisition,external_procurement_refe
EBAN,Purchase Requisition,GMMNG,PO Quantity of Purchase Requisition in POs on Hold,GMMNG,,QUAN,13,3,Purchase Requisition,po_quantity_of_purchase_r
EBAN,Purchase Requisition,WRTKZ,Value-Based Commitment Reduction for Service Purchase Reqs,WRTKZ,,CHAR,1,0,Purchase Requisition,value_based_commitment_re
EBAN,Purchase Requisition,RESLO,Issuing Storage Location for Stock Transport Order,RESLO,,CHAR,4,0,Purchase Requisition,issuing_storage_location_
EBAN,Purchase Requisition,KBLNR,Document Number for Earmarked Funds,KBLNR,,CHAR,10,0,Purchase Requisition,document_number_for_earma
EBAN,Purchase Requisition,KBLPOS,Earmarked Funds: Document Item,KBLPOS,,NUMC,3,0,Purchase Requisition,earmarked_funds_document_
EBAN,Purchase Requisition,PRIO_URG,Requirement Urgency,PRIO_URG,PURG,NUMC,2,0,Purchase Requisition,requirement_urgency
EBAN,Purchase Requisition,PRIO_REQ,Requirement Priority,PRIO_REQ,PREQ,NUMC,3,0,Purchase Requisition,requirement_priority
EBAN,Purchase Requisition,MEMORYTYPE,Category of Incompleteness,MEMORYTYPE,,CHAR,1,0,Purchase Requisition,category_of_incompletenes
EBAN,Purchase Requisition,ANZSN,Number of serial numbers,ANZSN,,INT4,10,0,Purchase Requisition,number_of_serial_numbers
EBAN,Purchase Requisition,MHDRZ,Minimum Remaining Shelf Life,MHDRZ,,DEC,4,0,Purchase Requisition,minimum_remaining_shelf_l
EBAN,Purchase Requisition,IPRKZ,Period Indicator for Shelf Life Expiration Date,DATTP,,CHAR,1,0,Purchase Requisition,period_indicator_for_shel
EBAN,Purchase Requisition,NODISP,Ind: Reserv. not applicable to MRP;Purc. req. not created,NODISP,,CHAR,1,0,Purchase Requisition,ind_reserv_not_applicable
EBAN,Purchase Requisition,SRM_CONTRACT_ID,Central Contract,SRM_CONTRACT_ID,,CHAR,10,0,Purchase Requisition,central_contract
EBAN,Purchase Requisition,SRM_CONTRACT_ITM,Central Contract Item Number,SRM_CONTRACT_ITEM,,NUMC,10,0,Purchase Requisition,central_contract_item_num
EBAN,Purchase Requisition,BUDGET_PD,FM: Budget Period,FM_BUDGET_PERIOD,,CHAR,10,0,Purchase Requisition,fm_budget_period
EBAN,Purchase Requisition,ADVCODE,Advice Code,/ISDFPS/ADVCODE,/ISDFPS/ADVCODE2,CHAR,2,0,Purchase Requisition,advice_code
EBAN,Purchase Requisition,STACODE,Status Code,/ISDFPS/STACODE,/ISDFPS/CSTACODE,CHAR,2,0,Purchase Requisition,status_code
EBAN,Purchase Requisition,BANFN_CS,Cross-System PReq Number,/ISDFPS/BANFN_CS,,CHAR,10,0,Purchase Requisition,cross_system_preq_number
EBAN,Purchase Requisition,BNFPO_CS,Cross-System PReq Item,/ISDFPS/BNFPO_CS,,NUMC,5,0,Purchase Requisition,cross_system_preq_item
EBAN,Purchase Requisition,ITEM_CS,Cross-System Item Category,/ISDFPS/ITEM_CS,,CHAR,1,0,Purchase Requisition,cross_system_item_categor
EBAN,Purchase Requisition,BSMNG_SND,PO Quantity Sender,/ISDFPS/BSMNG_SND,,QUAN,13,3,Purchase Requisition,po_quantity_sender
EBAN,Purchase Requisition,NO_MARD_DATA,No Storage Location Data Exists for Material,/ISDFPS/NO_MARD_DATA,,CHAR,1,0,Purchase Requisition,no_storage_location_data_
EBAN,Purchase Requisition,SERRU,Type of subcontracting,SERRU,,CHAR,1,0,Purchase Requisition,type_of_subcontracting
EBAN,Purchase Requisition,DISUB_SOBKZ,Special stock indicator Subcontracting,DISUB_SOBKZ_LB,,CHAR,1,0,Purchase Requisition,special_stock_indicator_s
EBAN,Purchase Requisition,DISUB_PSPNR,Work Breakdown Structure Element (WBS Element),PS_PSP_PNR,,NUMC,8,0,Purchase Requisition,work_breakdown_structure_
EBAN,Purchase Requisition,DISUB_KUNNR,Customer Number,KUNNR,,CHAR,10,0,Purchase Requisition,customer_number
EBAN,Purchase Requisition,DISUB_VBELN,Sales and Distribution Document Number,VBELN,,CHAR,10,0,Purchase Requisition,sales_and_distribution_do
EBAN,Purchase Requisition,DISUB_POSNR,Item number of the SD document,POSNR,,NUMC,6,0,Purchase Requisition,item_number_of_the_sd_doc
EBAN,Purchase Requisition,DISUB_OWNER,Owner of stock,OWNER_D,,CHAR,10,0,Purchase Requisition,owner_of_stock
EBAN,Purchase Requisition,IUID_RELEVANT,IUID-Relevant,IUID_RELEVANT,,CHAR,1,0,Purchase Requisition,iuid_relevant
EBAN,Purchase Requisition,OITAXFROM,Excise duty tax key for 'from' location,OIH_TAXFRO,OIH4,CHAR,2,0,Purchase Requisition,excise_duty_tax_key_for_'
EBAN,Purchase Requisition,OIHANTYP,Excise Duty Handling Type,OIH_HANTYP,OIH5,CHAR,2,0,Purchase Requisition,excise_duty_handling_type
EBAN,Purchase Requisition,OITAXTO,Excise duty tax key for 'to' location,OIH_TAXTO,OIH4,CHAR,2,0,Purchase Requisition,excise_duty_tax_key_for_'
EBAN,Purchase Requisition,OITAXGRP,Excise Duty Group,OIH_TAXGRP,OIH2,CHAR,2,0,Purchase Requisition,excise_duty_group
EBAN,Purchase Requisition,OIOILCON,Oil content in a material as a percentage,OIH_OILCON,,DEC,5,2,Purchase Requisition,oil_content_in_a_material
EBAN,Purchase Requisition,OIINEX,Code for internal or external excise duty rate determination,OIH_INEX,OIH16,CHAR,2,0,Purchase Requisition,code_for_internal_or_exte
EBAN,Purchase Requisition,OIPRICIE,ED pricing: external (indicator),OIH_PRICIE,,CHAR,1,0,Purchase Requisition,ed_pricing_external__indi
EBAN,Purchase Requisition,OIO_SPROC,Supply Process,OIO_SPROC,,CHAR,4,0,Purchase Requisition,supply_process
EBAN,Purchase Requisition,OIO_STATUS,Supply chain status,OIO_SC_STATUS,,CHAR,1,0,Purchase Requisition,supply_chain_status
